Transcript,Start,Stop
ZK637.11.1|cdna|chromosome:WBcel235:III:8916351:8917929:-1|gene:WBGene00000388.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cdc-25.3,51.0,54.0
R05H5.2.1|cdna|chromosome:WBcel235:II:10188263:10189469:-1|gene:WBGene00000389.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cdc-25.4,612.0,615.0
Y41D4B.13a.1|cdna|chromosome:WBcel235:IV:1597316:1601620:1|gene:WBGene00000416.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ced-2,1092.0,
R09F10.9.1|cdna|chromosome:WBcel235:X:8299119:8299654:-1|gene:WBGene00000427.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ced-13,,
Y65B4BR.9.1|cdna|chromosome:WBcel235:I:565436:566414:-1|gene:WBGene00000434.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ceh-9,81.0,84.0
M01E11.5.2|cdna|chromosome:WBcel235:I:5571787:5573019:-1|gene:WBGene00000474.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cey-3,51.0,54.0
Y38C9A.2a.2|cdna|chromosome:WBcel235:V:118043:122966:-1|gene:WBGene00000480.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cgp-1,,
T21H3.3a.1|cdna|chromosome:WBcel235:V:1156271:1158174:1|gene:WBGene00000552.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cmd-1,729.0,732.0
W01B6.7.1|cdna|chromosome:WBcel235:IV:10084454:10085438:-1|gene:WBGene00000593.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:col-2,291.0,294.0
T28C6.6.1|cdna|chromosome:WBcel235:IV:8824783:8826013:1|gene:WBGene00000594.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:col-3,438.0,441.0
F11G11.11.1|cdna|chromosome:WBcel235:II:4869607:4870791:-1|gene:WBGene00000609.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:col-20,156.0,
Y54E10BL.2.1|cdna|chromosome:WBcel235:I:3010688:3011648:1|gene:WBGene00000625.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:col-48,111.0,
K02D7.3a.1|cdna|chromosome:WBcel235:IV:325437:326711:-1|gene:WBGene00000675.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:col-101,,
T28C6.4.1|cdna|chromosome:WBcel235:IV:8822962:8824195:-1|gene:WBGene00000691.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:col-117,438.0,441.0
T11B7.3a.1|cdna|chromosome:WBcel235:IV:8848182:8849673:1|gene:WBGene00000692.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:col-118,384.0,
T15B7.5.1|cdna|chromosome:WBcel235:V:6829666:6830721:1|gene:WBGene00000714.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:col-141,0.0,3.0
C34F6.3.1|cdna|chromosome:WBcel235:X:11201465:11202488:1|gene:WBGene00000752.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:col-179,252.0,
T03F1.2.1|cdna|chromosome:WBcel235:I:3869214:3870114:1|gene:WBGene00000764.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:coq-4,,
F56A8.6.2|cdna|chromosome:WBcel235:III:13266874:13268897:-1|gene:WBGene00000774.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cpf-2,1035.0,
F44C4.3.1|cdna|chromosome:WBcel235:V:6614674:6615845:1|gene:WBGene00000784.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cpr-4,129.0,132.0
C41D11.8.1|cdna|chromosome:WBcel235:I:4446577:4448461:-1|gene:WBGene00000787.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cps-6,,
Y76A2A.2a.1|cdna|chromosome:WBcel235:III:13439730:13455307:-1|gene:WBGene00000834.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cua-1,57.0,60.0
ZK507.6.1|cdna|chromosome:WBcel235:III:9106702:9109272:-1|gene:WBGene00000863.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cya-1,507.0,510.0
Y75B12B.5.1|cdna|chromosome:WBcel235:V:15189927:15190926:1|gene:WBGene00000879.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cyn-3,,
T27D1.1.1|cdna|chromosome:WBcel235:III:3697821:3699640:-1|gene:WBGene00000885.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cyn-9,105.0,108.0
F57B10.10.1|cdna|chromosome:WBcel235:I:6553481:6554290:-1|gene:WBGene00000896.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:dad-1,,
F11A1.3a.1|cdna|chromosome:WBcel235:X:10644409:10666874:1|gene:WBGene00000908.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:daf-12,381.0,384.0
T05F1.10.1|cdna|chromosome:WBcel235:I:9647603:9649238:-1|gene:WBGene00000968.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:dhs-4,345.0,348.0
T26A5.9.3|cdna|chromosome:WBcel235:III:6462907:6463801:-1|gene:WBGene00001005.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:dlc-1,,
B0035.2.1|cdna|chromosome:WBcel235:IV:11312437:11313980:-1|gene:WBGene00001020.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:dnj-2,63.0,66.0
R74.4b.1|cdna|chromosome:WBcel235:III:4191141:4193427:1|gene:WBGene00001034.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:dnj-16,558.0,561.0
T05C3.5.2|cdna|chromosome:WBcel235:V:5503033:5504856:-1|gene:WBGene00001037.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:dnj-19,66.0,69.0
EGAP7.1.1|cdna|chromosome:WBcel235:X:2144605:2145647:-1|gene:WBGene00001065.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:dpy-3,264.0,
R160.1b.1|cdna|chromosome:WBcel235:X:4389365:4393796:1|gene:WBGene00001082.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:dpy-23,78.0,81.0
F10C2.6.1|cdna|chromosome:WBcel235:V:12048745:12052182:1|gene:WBGene00001095.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:dars-2,81.0,84.0
F56A11.3.1|cdna|chromosome:WBcel235:IV:559234:568076:1|gene:WBGene00001165.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:efn-4,501.0,504.0
F23B12.9.1|cdna|chromosome:WBcel235:V:14431310:14432359:-1|gene:WBGene00001170.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:egl-1,,
F22E12.4a.2|cdna|chromosome:WBcel235:V:10468411:10476952:1|gene:WBGene00001178.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:egl-9,84.0,87.0
R53.3a.1|cdna|chromosome:WBcel235:II:9955185:9962344:1|gene:WBGene00001207.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:egl-43,1818.0,
K10D2.6.2|cdna|chromosome:WBcel235:III:5196678:5199688:-1|gene:WBGene00001262.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:emb-8,360.0,363.0
F35A5.8a.1|cdna|chromosome:WBcel235:X:3800045:3802771:-1|gene:WBGene00001335.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:F35A5.8,537.0,540.0
Y105E8A.22.1|cdna|chromosome:WBcel235:I:14511431:14518719:-1|gene:WBGene00001365.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:exc-4,,
F02A9.3.2|cdna|chromosome:WBcel235:III:9081679:9082511:1|gene:WBGene00001386.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:far-2,717.0,
F15B9.2.1|cdna|chromosome:WBcel235:V:12998427:12999659:-1|gene:WBGene00001388.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:far-4,,
W07E11.2.1|cdna|chromosome:WBcel235:X:10091961:10092964:-1|gene:WBGene00001446.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:flp-3,,
F33D4.3.1|cdna|chromosome:WBcel235:IV:7696932:7698420:-1|gene:WBGene00001456.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:flp-13,,
F22B5.9.1|cdna|chromosome:WBcel235:II:8464848:8467072:1|gene:WBGene00001498.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:fars-3,1089.0,1092.0
K12H6.3.1|cdna|chromosome:WBcel235:II:2819435:2822490:-1|gene:WBGene00001507.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:fut-4,171.0,174.0
F32H2.1a.1|cdna|chromosome:WBcel235:I:8962322:8966129:1|gene:WBGene00001568.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:snpc-4,135.0,138.0
Y37A1B.15.1|cdna|chromosome:WBcel235:IV:13981087:13982525:-1|gene:WBGene00001575.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:gei-18,129.0,132.0
Y39E4B.12a.1|cdna|chromosome:WBcel235:III:13187392:13204890:1|gene:WBGene00001630.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:gly-5,576.0,579.0
F22B7.13.1|cdna|chromosome:WBcel235:III:8628926:8630776:1|gene:WBGene00001688.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:gpr-1,303.0,306.0
T01B10.1.1|cdna|chromosome:WBcel235:X:8501245:8502289:1|gene:WBGene00001693.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:grd-4,,
ZC487.5.1|cdna|chromosome:WBcel235:V:6731831:6733092:-1|gene:WBGene00001717.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:grl-8,330.0,333.0
F21H7.1.1|cdna|chromosome:WBcel235:V:16231032:16232317:-1|gene:WBGene00001770.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:gst-22,,
Y71F9AL.5.1|cdna|chromosome:WBcel235:I:2901325:2903006:1|gene:WBGene00001791.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:gst-43,,
T06E4.1.1|cdna|chromosome:WBcel235:V:9645746:9650211:1|gene:WBGene00001830.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:hcp-2,,
C10E2.3a.1|cdna|chromosome:WBcel235:X:16729559:16744190:1|gene:WBGene00001837.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:hda-4,465.0,468.0
C18G1.5.1|cdna|chromosome:WBcel235:V:4754313:4755469:1|gene:WBGene00001855.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:hil-4,,
T10C6.12.1|cdna|chromosome:WBcel235:V:16040771:16041288:1|gene:WBGene00001877.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:his-3,,
F45F2.3.1|cdna|chromosome:WBcel235:V:8535177:8535662:1|gene:WBGene00001879.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:his-5,411.0,
ZK131.5.1|cdna|chromosome:WBcel235:II:13821778:13822333:1|gene:WBGene00001885.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:his-11,,
F17E9.10.1|cdna|chromosome:WBcel235:IV:8334298:8334862:1|gene:WBGene00001906.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:his-32,,
C50F4.5.1|cdna|chromosome:WBcel235:V:9545494:9546264:1|gene:WBGene00001915.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:his-41,,
B0035.10.1|cdna|chromosome:WBcel235:IV:11326557:11327090:1|gene:WBGene00001919.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:his-45,,
B0035.7.1|cdna|chromosome:WBcel235:IV:11323885:11324470:-1|gene:WBGene00001921.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:his-47,,
F54E12.1.1|cdna|chromosome:WBcel235:IV:11337733:11338295:-1|gene:WBGene00001929.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:his-55,,
F55G1.10.1|cdna|chromosome:WBcel235:IV:7485733:7486254:-1|gene:WBGene00001935.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:his-61,,
F22B3.2.1|cdna|chromosome:WBcel235:IV:11406365:11406893:-1|gene:WBGene00001937.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:his-63,,
F45E1.6.1|cdna|chromosome:WBcel235:X:7981382:7982070:-1|gene:WBGene00001945.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:his-71,546.0,
Y49E10.6a.1|cdna|chromosome:WBcel235:III:12367475:12368164:-1|gene:WBGene00001946.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:his-72,,
K07A12.6.1|cdna|chromosome:WBcel235:I:8683220:8687217:-1|gene:WBGene00001990.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:hot-5,120.0,123.0
Y39A1A.23a.1|cdna|chromosome:WBcel235:III:10621541:10626398:1|gene:WBGene00001997.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:hpr-9,378.0,381.0
Y66H1A.6a.1|cdna|chromosome:WBcel235:IV:429214:440554:-1|gene:WBGene00002041.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:hum-8,729.0,732.0
F54G8.3.1|cdna|chromosome:WBcel235:III:9168040:9172802:-1|gene:WBGene00002081.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ina-1,132.0,135.0
T08G5.12.1|cdna|chromosome:WBcel235:V:14033950:14034393:1|gene:WBGene00002093.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ins-10,,
Y8A9A.6.1|cdna|chromosome:WBcel235:II:3802959:3803324:-1|gene:WBGene00002115.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ins-32,294.0,
C30F8.4a.1|cdna|chromosome:WBcel235:I:5086317:5093793:1|gene:WBGene00002213.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:kin-32,30.0,33.0
C15C7.2.1|cdna|chromosome:WBcel235:X:3159940:3164424:1|gene:WBGene00002220.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:gcc-1,,
F58D5.4a.1|cdna|chromosome:WBcel235:I:12047469:12059798:-1|gene:WBGene00002240.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ksr-2,321.0,324.0
W02D3.5.1|cdna|chromosome:WBcel235:I:6728290:6729376:-1|gene:WBGene00002258.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:lbp-6,,
W01A11.4.1|cdna|chromosome:WBcel235:V:6488203:6489120:-1|gene:WBGene00002273.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:lec-10,,
F38H4.9.2|cdna|chromosome:WBcel235:IV:11856629:11860450:1|gene:WBGene00002363.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:let-92,90.0,93.0
C29E6.1a.2|cdna|chromosome:WBcel235:IV:11885530:11891081:1|gene:WBGene00002827.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:let-653,162.0,165.0
W03C9.4a.1|cdna|chromosome:WBcel235:II:11917642:11935343:-1|gene:WBGene00003015.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:lin-29,408.0,411.0
DY3.2.2|cdna|chromosome:WBcel235:I:8762986:8765633:1|gene:WBGene00003052.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:lmn-1,2055.0,2058.0
T27C10.6.1|cdna|chromosome:WBcel235:I:10879769:10894239:-1|gene:WBGene00003068.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:lrk-1,51.0,54.0
F32A5.7.1|cdna|chromosome:WBcel235:II:7252232:7253222:-1|gene:WBGene00003078.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:lsm-4,,
ZK593.7.1|cdna|chromosome:WBcel235:IV:10933502:10934200:1|gene:WBGene00003081.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:lsm-7,381.0,384.0
Y73B6BL.32.1|cdna|chromosome:WBcel235:IV:6326526:6329461:1|gene:WBGene00003082.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:lsm-8,,
R09B3.5.1|cdna|chromosome:WBcel235:I:11912005:11912677:-1|gene:WBGene00003123.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mag-1,,
C44B11.3.1|cdna|chromosome:WBcel235:III:3131574:3139234:-1|gene:WBGene00003175.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mec-12,,
K08A8.1a.1|cdna|chromosome:WBcel235:X:7479248:7481010:1|gene:WBGene00003185.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mek-1,135.0,138.0
W02A2.7.1|cdna|chromosome:WBcel235:IV:13353723:13356104:1|gene:WBGene00003230.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mex-5,861.0,864.0
F13G3.9.1|cdna|chromosome:WBcel235:I:7312797:7313525:-1|gene:WBGene00003236.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mif-3,,
Y73B6BL.13.1|cdna|chromosome:WBcel235:IV:6335249:6335994:-1|gene:WBGene00003237.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mif-4,,
C36E6.5.1|cdna|chromosome:WBcel235:X:17455779:17456586:-1|gene:WBGene00003370.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mlc-2,627.0,
F57C12.5d.1|cdna|chromosome:WBcel235:X:576318:587483:-1|gene:WBGene00003407.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mrp-1,12.0,15.0
E03G2.2.1|cdna|chromosome:WBcel235:X:15929958:15939324:-1|gene:WBGene00003409.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mrp-3,66.0,69.0
T22E5.5.1|cdna|chromosome:WBcel235:X:6408471:6410359:-1|gene:WBGene00003495.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mup-2,,
F40G9.11.1|cdna|chromosome:WBcel235:III:186951:188131:-1|gene:WBGene00003510.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:mxl-2,252.0,255.0
T07C4.9a.1|cdna|chromosome:WBcel235:III:10325613:10330422:-1|gene:WBGene00003589.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nex-2,633.0,636.0
C06C6.5a.2|cdna|chromosome:WBcel235:V:15997761:16000631:-1|gene:WBGene00003640.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nhr-50,255.0,258.0
K06B4.11.1|cdna|chromosome:WBcel235:V:15700606:15702363:-1|gene:WBGene00003643.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nhr-53,120.0,123.0
T06C12.6.1|cdna|chromosome:WBcel235:V:15874093:15876408:-1|gene:WBGene00003692.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nhr-102,69.0,72.0
F35E8.12.1|cdna|chromosome:WBcel235:V:15922939:15924471:-1|gene:WBGene00003698.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nhr-108,144.0,147.0
ZK1025.9.1|cdna|chromosome:WBcel235:I:11473218:11475677:-1|gene:WBGene00003703.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nhr-113,183.0,186.0
F44C8.2.2|cdna|chromosome:WBcel235:V:2231124:2233381:1|gene:WBGene00003724.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nhr-134,18.0,21.0
B0495.4.1|cdna|chromosome:WBcel235:II:7690711:7693957:-1|gene:WBGene00003730.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nhx-2,81.0,84.0
F58E1.6b.1|cdna|chromosome:WBcel235:II:1670833:1674337:1|gene:WBGene00003734.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nhx-6,99.0,102.0
M01D7.5.1|cdna|chromosome:WBcel235:I:1843384:1843899:1|gene:WBGene00003750.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nlp-12,150.0,
CC4.2.1|cdna|chromosome:WBcel235:I:12988223:12995475:1|gene:WBGene00003753.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nlp-15,738.0,
T13A10.5a.1|cdna|chromosome:WBcel235:IV:6255071:6259858:-1|gene:WBGene00003754.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nlp-16,,
Y45F10A.5.1|cdna|chromosome:WBcel235:IV:13505270:13505762:-1|gene:WBGene00003755.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nlp-17,,
Y47D3B.2a.1|cdna|chromosome:WBcel235:III:11388715:11393260:-1|gene:WBGene00003759.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nlp-21,573.0,
T24D8.3.1|cdna|chromosome:WBcel235:X:2341359:2342089:-1|gene:WBGene00003760.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nlp-22,330.0,
Y43F8C.2.1|cdna|chromosome:WBcel235:V:19613461:19614533:1|gene:WBGene00003764.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nlp-26,198.0,
Y53C12B.3b.1|cdna|chromosome:WBcel235:II:9746718:9750439:1|gene:WBGene00003785.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:nos-3,2121.0,2124.0
T19B4.2.2|cdna|chromosome:WBcel235:I:5691838:5697506:1|gene:WBGene00003793.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:npp-7,48.0,51.0
T05A1.1a.1|cdna|chromosome:WBcel235:IV:9568828:9580071:-1|gene:WBGene00003808.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:npr-2,171.0,174.0
B0286.4a.2|cdna|chromosome:WBcel235:II:4372740:4376742:-1|gene:WBGene00003825.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ntl-2,129.0,132.0
T01B11.7.1|cdna|chromosome:WBcel235:IV:8464752:8472593:-1|gene:WBGene00003837.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:oat-1,240.0,243.0
Y40C5A.2.1|cdna|chromosome:WBcel235:IV:7329620:7332811:-1|gene:WBGene00003841.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ocr-4,360.0,363.0
C36B1.4.2|cdna|chromosome:WBcel235:I:8727214:8728497:-1|gene:WBGene00003925.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:pas-4,876.0,
F54C1.7.2|cdna|chromosome:WBcel235:I:5018770:5020166:-1|gene:WBGene00003934.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:pat-10,,
B0523.3.1|cdna|chromosome:WBcel235:III:8670543:8675051:-1|gene:WBGene00003993.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:pgl-2,12.0,15.0
C18G1.4a.1|cdna|chromosome:WBcel235:V:4755985:4758584:1|gene:WBGene00003994.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:pgl-3,1491.0,1494.0
F45E4.2.1|cdna|chromosome:WBcel235:IV:7633360:7634657:1|gene:WBGene00004046.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:plp-1,,
ZK1067.7.1|cdna|chromosome:WBcel235:II:9225186:9227261:-1|gene:WBGene00004174.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:abu-14,1362.0,1365.0
